Id,Designator,Footprint,Quantity,Designation,Supplier and ref,Column1,_1
1,"C19,C3,C11,C7,C26,C22,C12,C24,C9,C4",C_0603_1608Metric,10,100n,q,,
2,"C13,C1,C10,C23,C5,C16,C6,C8,C27,C20",C_0805_2012Metric,10,10u,q,,
3,U3,TO-252-3_TabPin2,1,LD39150DT33,q,,
4,"R25,R13,R16,R8,R3,R2",R_0402_1005Metric,6,1.5k,q,,
5,"R24,R18,R12,R7,R10,R15,R5",R_0402_1005Metric,7,10k,q,,
6,"R21,R17",R_0603_1608Metric,2,25R,q,,
7,"D1,D4",D_SMB,2,B260,q,,
8,J2,GCT_USB4105-GF-A,1,USB4105-GF-A,q,,
9,LS1,CUI_CMI-9705-0380-SMT-TR,1,CMI-9705-0380-SMT-TR,q,,
10,"S1,S2",SW_EVP-ASAC1A,2,EVP-ASAC1A,q,,
11,J1,0398800303,1,0398800303,q,,
12,U5,SOT-666,1,USBLC6-2P6,q,,
13,"J4,J5",0398800304,2,0398800304,q,,
14,U9,ublox_SAM-M8Q,1,SAM-M8Q,q,,
15,U4,LGA-16_4X4X1_STM,1,I3G4250DTR,q,,
16,U7,LGA-12_2X2X1_STM,1,LIS2MDLTR,q,,
17,J3,0398800302,1,0398800302,q,,
18,D2,LED_0603_1608Metric,1,LTST-C190KRKT,q,,
19,U2,TFLGA_S200DL_STM,1,H3LIS200DLTR,q,,
20,U1,ESP32-S3-WROOM-1_EXP,1,ESP32-S3-WROOM-1-N16R2,q,,
21,U6,HLGA10_2X2_STM,1,LPS22HBTR,q,,
22,"Q6,Q1,Q2,Q4,Q5",SOT-23,5,DMG2302U,q,,
23,C21,C_0603_1608Metric,1,220n,q,,
24,"R1,R9,R23,R6,R14",R_0402_1005Metric,5,20k,q,,
25,"R11,R4",R_0402_1005Metric,2,5.1k,q,,
26,"Q3,Q7",SOT-23,2,DMG2301L,q,,
27,U10,WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,1,W25N02KVZEIR TR,q,,
28,C17,C_0603_1608Metric,1,10n,q,,
29,C18,C_0603_1608Metric,1,470n,q,,
30,C2,PHV-5R4H474-R,1,470m,q,,
31,J7,TAOGLAS_EMPCB.SMAFSTJ.B.HT,1,EMPCB.SMAFSTJ.B.HT,q,,
32,"R19,R20",R_0402_1005Metric,2,2.2k,q,,
33,U11,RFM95W-915S2,1,RFM95W-915S2,q,,
