# Time (s),Altitude (ft),Total velocity (ft/s),Air temperature (°F),Air pressure (psi)
0.002,-0,0.059,59,14.696
0.004,-0,0.05,59,14.696
0.006,-0,0.04,59,14.696
0.008,-0,0.031,59,14.696
0.01,-0,0.021,59,14.696
0.012,-0,0.012,59,14.696
0.014,-0,0.002,59,14.696
0.016,0,0.008,59,14.696
0.018,0,0.025,59,14.696
0.02,0,0.051,59,14.696
0.022,0,0.088,59,14.696
0.024,0,0.134,59,14.696
0.026,0.001,0.189,59,14.696
0.028,0.001,0.254,59,14.696
0.03,0.002,0.329,59,14.696
0.032,0.003,0.413,59,14.696
0.034,0.003,0.507,59,14.696
0.036,0.005,0.61,59,14.696
0.038,0.006,0.723,59,14.696
0.04,0.007,0.845,59,14.696
0.042,0.009,0.978,59,14.696
0.044,0.011,1.119,59,14.696
0.046,0.014,1.271,59,14.696
0.048,0.017,1.432,59,14.696
0.05,0.02,1.602,59,14.696
0.052,0.023,1.782,59,14.696
0.054,0.027,1.972,59,14.696
0.056,0.031,2.171,59,14.696
0.058,0.035,2.38,59,14.696
0.06,0.04,2.599,59,14.696
0.062,0.046,2.827,59,14.696
0.064,0.052,3.065,59,14.696
0.066,0.058,3.312,59,14.696
0.068,0.065,3.569,59,14.696
0.07,0.072,3.836,59,14.696
0.072,0.08,4.112,59,14.696
0.074,0.089,4.398,59,14.696
0.076,0.098,4.693,59,14.696
0.078,0.108,4.998,59,14.696
0.08,0.118,5.313,59,14.696
0.082,0.129,5.637,59,14.696
0.084,0.14,5.971,58.999,14.696
0.086,0.153,6.315,58.999,14.696
0.088,0.166,6.668,58.999,14.696
0.09,0.179,7.031,58.999,14.696
0.092,0.194,7.403,58.999,14.696
0.094,0.209,7.785,58.999,14.696
0.096,0.225,8.177,58.999,14.696
0.098,0.242,8.578,58.999,14.696
0.1,0.259,8.989,58.999,14.696
0.102,0.278,9.41,58.999,14.696
0.104,0.297,9.84,58.999,14.696
0.106,0.317,10.28,58.999,14.696
0.108,0.338,10.729,58.999,14.696
0.11,0.36,11.189,58.999,14.696
0.112,0.383,11.657,58.999,14.696
0.114,0.406,12.136,58.999,14.696
0.116,0.431,12.624,58.998,14.696
0.118,0.457,13.122,58.998,14.696
0.12,0.484,13.629,58.998,14.696
0.122,0.511,14.146,58.998,14.696
0.124,0.54,14.673,58.998,14.696
0.126,0.57,15.209,58.998,14.696
0.128,0.601,15.755,58.998,14.696
0.13,0.633,16.311,58.998,14.696
0.132,0.666,16.876,58.998,14.696
0.134,0.701,17.451,58.998,14.696
0.136,0.736,18.036,58.997,14.696
0.138,0.773,18.63,58.997,14.696
0.14,0.81,19.234,58.997,14.696
0.142,0.85,19.847,58.997,14.696
0.144,0.89,20.471,58.997,14.695
0.146,0.931,21.104,58.997,14.695
0.148,0.974,21.746,58.997,14.695
0.15,1.018,22.398,58.996,14.695
0.152,1.064,23.06,58.996,14.695
0.154,1.11,23.732,58.996,14.695
0.156,1.159,24.413,58.996,14.695
0.158,1.208,25.104,58.996,14.695
0.16,1.259,25.805,58.996,14.695
0.162,1.311,26.515,58.995,14.695
0.164,1.365,27.235,58.995,14.695
0.166,1.42,27.965,58.995,14.695
0.168,1.477,28.704,58.995,14.695
0.17,1.535,29.453,58.995,14.695
0.172,1.595,30.212,58.994,14.695
0.174,1.656,30.98,58.994,14.695
0.176,1.718,31.759,58.994,14.695
0.178,1.783,32.546,58.994,14.695
0.18,1.849,33.344,58.993,14.695
0.182,1.916,34.146,58.993,14.695
0.184,1.985,34.949,58.993,14.695
0.186,2.056,35.752,58.993,14.695
0.188,2.128,36.556,58.992,14.695
0.19,2.202,37.36,58.992,14.695
0.192,2.277,38.165,58.992,14.695
0.194,2.354,38.969,58.992,14.695
0.196,2.433,39.775,58.991,14.695
0.198,2.513,40.58,58.991,14.695
0.2,2.595,41.386,58.991,14.695
0.202,2.679,42.192,58.99,14.695
0.204,2.764,42.999,58.99,14.695
0.206,2.851,43.806,58.99,14.694
0.208,2.939,44.614,58.99,14.694
0.21,3.029,45.421,58.989,14.694
0.212,3.121,46.23,58.989,14.694
0.214,3.214,47.038,58.989,14.694
0.216,3.309,47.847,58.988,14.694
0.218,3.405,48.657,58.988,14.694
0.22,3.503,49.466,58.988,14.694
0.222,3.603,50.277,58.987,14.694
0.224,3.704,51.087,58.987,14.694
0.226,3.807,51.898,58.986,14.694
0.228,3.912,52.709,58.986,14.694
0.23,4.018,53.521,58.986,14.694
0.232,4.126,54.333,58.985,14.694
0.234,4.235,55.145,58.985,14.694
0.236,4.346,55.958,58.985,14.694
0.238,4.459,56.771,58.984,14.694
0.24,4.573,57.585,58.984,14.694
0.242,4.689,58.399,58.983,14.694
0.244,4.806,59.212,58.983,14.693
0.246,4.926,60.026,58.982,14.693
0.248,5.046,60.839,58.982,14.693
0.25,5.169,61.652,58.982,14.693
0.252,5.293,62.466,58.981,14.693
0.254,5.419,63.279,58.981,14.693
0.256,5.546,64.092,58.98,14.693
0.258,5.675,64.905,58.98,14.693
0.26,5.805,65.717,58.979,14.693
0.262,5.937,66.53,58.979,14.693
0.264,6.071,67.343,58.978,14.693
0.266,6.207,68.155,58.978,14.693
0.268,6.344,68.968,58.977,14.693
0.27,6.482,69.78,58.977,14.693
0.272,6.623,70.592,58.976,14.693
0.274,6.765,71.404,58.976,14.692
0.276,6.908,72.216,58.975,14.692
0.278,7.053,73.028,58.975,14.692
0.28,7.2,73.84,58.974,14.692
0.282,7.348,74.651,58.974,14.692
0.284,7.498,75.463,58.973,14.692
0.286,7.65,76.275,58.973,14.692
0.288,7.803,77.086,58.972,14.692
0.29,7.958,77.897,58.972,14.692
0.292,8.115,78.708,58.971,14.692
0.294,8.273,79.519,58.97,14.692
0.296,8.433,80.33,58.97,14.692
0.298,8.594,81.141,58.969,14.691
0.3,8.757,81.952,58.969,14.691
0.302,8.922,82.763,58.968,14.691
0.304,9.088,83.573,58.968,14.691
0.306,9.256,84.384,58.967,14.691
0.308,9.425,85.194,58.966,14.691
0.31,9.596,86.004,58.966,14.691
0.312,9.769,86.814,58.965,14.691
0.314,9.943,87.624,58.965,14.691
0.316,10.119,88.434,58.964,14.691
0.318,10.297,89.244,58.963,14.691
0.32,10.476,90.054,58.963,14.691
0.322,10.657,90.863,58.962,14.69
0.324,10.839,91.673,58.961,14.69
0.326,11.023,92.482,58.961,14.69
0.328,11.209,93.291,58.96,14.69
0.33,11.396,94.1,58.959,14.69
0.332,11.585,94.91,58.959,14.69
0.334,11.776,95.718,58.958,14.69
0.336,11.968,96.527,58.957,14.69
0.338,12.162,97.336,58.957,14.69
0.34,12.357,98.145,58.956,14.69
0.342,12.554,98.953,58.955,14.689
0.344,12.752,99.762,58.955,14.689
0.346,12.953,100.57,58.954,14.689
0.348,13.154,101.378,58.953,14.689
0.35,13.358,102.186,58.952,14.689
0.352,13.563,102.994,58.952,14.689
0.354,13.77,103.802,58.951,14.689
0.356,13.978,104.61,58.95,14.689
0.358,14.188,105.418,58.949,14.689
0.36,14.399,106.225,58.949,14.688
0.362,14.612,107.033,58.948,14.688
0.364,14.827,107.84,58.947,14.688
0.366,15.044,108.647,58.946,14.688
0.369,15.371,109.858,58.945,14.688
0.374,15.869,111.673,58.943,14.688
0.38,16.632,114.395,58.941,14.687
0.39,17.795,118.426,58.937,14.687
0.4,18.999,122.454,58.932,14.686
0.41,20.243,126.479,58.928,14.685
0.42,21.527,130.501,58.923,14.685
0.43,22.851,134.521,58.919,14.684
0.44,24.216,138.537,58.914,14.683
0.45,25.62,142.551,58.909,14.683
0.46,27.065,146.562,58.903,14.682
0.47,28.55,150.57,58.898,14.681
0.48,30.074,154.575,58.893,14.68
0.49,31.639,158.577,58.887,14.68
0.5,33.244,162.576,58.881,14.679
0.51,34.889,166.572,58.876,14.678
0.52,36.573,170.565,58.87,14.677
0.53,38.298,174.555,58.863,14.676
0.54,40.062,178.542,58.857,14.675
0.55,41.866,182.526,58.851,14.674
0.56,43.71,186.507,58.844,14.673
0.57,45.594,190.485,58.837,14.672
0.58,47.517,194.46,58.831,14.671
0.59,49.481,198.432,58.824,14.67
0.6,51.484,202.4,58.816,14.669
0.61,53.526,206.366,58.809,14.668
0.62,55.608,210.328,58.802,14.667
0.63,57.73,214.287,58.794,14.666
0.64,59.891,218.243,58.786,14.665
0.65,62.092,222.195,58.779,14.664
0.66,64.332,226.145,58.771,14.663
0.67,66.612,230.091,58.762,14.661
0.68,68.931,234.033,58.754,14.66
0.69,71.289,237.973,58.746,14.659
0.7,73.687,241.909,58.737,14.658
0.71,76.124,245.842,58.729,14.656
0.72,78.6,249.771,58.72,14.655
0.73,81.116,253.697,58.711,14.654
