Time (s),Thrust (N),Oxidizer Tank Pressure (kPa),Combustion Chamber Pressure (kPa),Injector Pressure Drop (kPa),Oxidizer Mass (kg),Fuel Mass (kg),Oxidizer Mass Flow Rate (kg/s),Fuel Mass Flow Rate (kg/s),Exhaust Mass Flow Rate (kg/s),Oxidizer to Fuel Ratio,Grain ID (cm),Regression Rate (mm/s)
0,0,4136.84,101.325,0,5.2519327,1.42336,0,0,0,0,6.096,0
0.001,0,4136.84,156.03804,-1.1503587,5.2471255,1.4228195,4.807161,0.54047346,0.078054473,8.8943516,6.0980576,0.01028779
0.002,0,4135.6896,210.21261,-1.1346858,5.2423516,1.4222811,4.7739725,0.53837935,0.12005104,8.8673024,6.1001065,0.010244471
0.003,0,4134.5549,263.77561,-1.1270589,5.2376107,1.4217448,4.7408781,0.53628497,0.16154427,8.8402219,6.1021467,0.010201191
0.004,53.31276,4133.4279,316.68683,-1.1194015,5.2329028,1.4212106,4.7079208,0.534193,0.20249182,8.8131458,6.1041783,0.010158
0.005,136.01057,4132.3085,368.92236,-1.1117804,5.2282276,1.4206785,4.6751284,0.53210523,0.24287614,8.7860973,6.1062013,0.010114932
0.006,217.61117,4131.1967,420.46759,-1.1041995,5.2235851,1.4201485,4.6425192,0.53002285,0.28269157,8.7590925,6.1082157,0.01007201
0.007,298.10189,4130.0925,471.31369,-1.096662,5.218975,1.4196206,4.6101063,0.52794672,0.32193891,8.732143,6.1102215,0.010029248
0.008,377.47608,4128.9958,521.45569,-1.0891703,5.2143971,1.4190947,4.5778996,0.52587754,0.3606227,8.7052579,6.1122189,0.0099866613
0.009,455.72218,4127.9066,570.89206,-1.0817261,5.2098512,1.4185709,4.5459067,0.52381583,0.39866636,8.6784447,6.1142077,0.0099442579
0.01,532.83398,4126.8249,619.62397,-1.074331,5.2053371,1.4180491,4.5141333,0.52176203,0.4360031,8.6517092,6.1161881,0.009902046
0.011,608.82613,4125.7506,667.65315,-1.0669859,5.2008545,1.4175294,4.4825835,0.51971646,0.4727298,8.6250558,6.1181601,0.0098600313
0.012,683.70349,4124.6836,714.98249,-1.0596918,5.1964032,1.4170117,4.451261,0.51767944,0.50885103,8.5984891,6.1201238,0.0098182193
0.013,757.47231,4123.6239,761.61573,-1.0524495,5.1919831,1.416496,4.4201689,0.51565123,0.54437213,8.5720127,6.1220791,0.0097766148
0.014,830.1399,4122.5715,807.55732,-1.0452595,5.1875937,1.4159824,4.3893098,0.51363207,0.57929902,8.5456302,6.1240261,0.0097352219
0.015,901.71448,4121.5262,852.81225,-1.0381226,5.1832351,1.4154708,4.3586858,0.51162219,0.61363807,8.5193447,6.1259649,0.0096940441
0.016,972.20428,4120.4881,897.38592,-1.0310391,5.1789068,1.4149612,4.3282988,0.50962178,0.64739769,8.493159,6.1278956,0.0096530849
0.017,1041.617,4119.457,941.28408,-1.0240095,5.1746086,1.4144535,4.2981503,0.50763101,0.68058885,8.4670759,6.129818,0.0096123472
0.018,1109.964,4118.433,984.51276,-1.0170341,5.1703404,1.4139479,4.2682417,0.50565007,0.71321451,8.4410978,6.1317324,0.0095718337
0.019,1177.2552,4117.416,1027.0783,-1.0101132,5.1661018,1.4134442,4.238574,0.5036791,0.74528197,8.415227,6.1336387,0.0095315469
0.02,1243.5135,4116.4059,1068.9857,-1.0032472,5.1618927,1.4129425,4.2091481,0.50171824,0.77692913,8.3894659,6.135537,0.0094914892
0.021,1308.7432,4115.4026,1110.2409,-0.99643647,5.1577127,1.4124427,4.1799659,0.49976771,0.80811585,8.3638174,6.1374273,0.0094516639
