Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	6	0	0.0115386682	0	0	0	0	0	0	0	0	0	0	3
2	6	0	0.0230773363	0	0	0	0	0	0	0	0	0	0	3
3	7	0	0.0346160045	0	0	0	0	0	0	0	0	0	0	3
4	8	0	0.0461546727	0	0	0	0	0	0	0	0	0	0	3
5	9	0	0.0576933408	0	0	0	0	0	0	0	0	0	0	3
6	10	0	0.069232009	0	0	0	0	0	0	0	0	0	0	3
7	11	0	0.0807706772	0	0	0	0	0	0	0	0	0	0	3
8	12	0	0.0923093453	0	0	0	0	0	0	0	0	0	0	3
9	13	0	0.103848013	0	0	0	0	0	0	0	0	0	0	3
10	13	0	0.115386682	0	0	0	0	0	0	0	0	0	0	3
11	14	0	0.12692535	0	0	0	0	0	0	0	0	0	0	3
12	15	0	0.138464018	0	0	0	0	0	0	0	0	0	0	3
13	16	0	0.150002686	0	0	0	0	0	0	0	0	0	0	3
14	17	0	0.161541354	0	0	0	0	0	0	0	0	0	0	3
15	18	0	0.173080022	0	0	0	0	0	0	0	0	0	0	3
16	19	0	0.184618691	0	0	0	0	0	0	0	0	0	0	3
17	19	0	0.196157359	0	0	0	0	0	0	0	0	0	0	3
18	20	0	0.207696027	0	0	0	0	0	0	0	0	0	0	3
19	21	0	0.219234695	0	0	0	0	0	0	0	0	0	0	3
20	22	0	0.230773363	0	0	0	0	0	0	0	0	0	0	3
21	23	0	0.242312031	0	0	0	0	0	0	0	0	0	0	3
22	24	0	0.2538507	0	0	0	0	0	0	0	0	0	0	3
23	25	0	0.265389368	0	0	0	0	0	0	0	0	0	0	3
24	26	0	0.276928036	0	0	0	0	0	0	0	0	0	0	3
25	26	0	0.288466704	0	0	0	0	0	0	0	0	0	0	3
26	27	0	0.300005372	0	0	0	0	0	0	0	0	0	0	3
27	28	0	0.31154404	0	0	0	0	0	0	0	0	0	0	3
28	29	0	0.323082709	0	0	0	0	0	0	0	0	0	0	3
29	30	0	0.334621377	0	0	0	0	0	0	0	0	0	0	3
30	31	0	0.346160045	0	0	0	0	0	0	0	0	0	0	3
31	31	0	0.357698713	0	0	0	0	0	0	0	0	0	0	3
32	32	0	0.369237381	0	0	0	0	0	0	0	0	0	0	3
33	33	0	0.380776049	0	0	0	0	0	0	0	0	0	0	3
34	34	0	0.392314718	0	0	0	0	0	0	0	0	0	0	3
35	35	0	0.403853386	0	0	0	0	0	0	0	0	0	0	3
36	35	0	0.415392054	0	0	0	0	0	0	0	0	0	0	3
37	36	0	0.426930722	0	0	0	0	0	0	0	0	0	0	3
38	37	0	0.43846939	0	0	0	0	0	0	0	0	0	0	3
39	38	0	0.450008058	0	0	0	0	0	0	0	0	0	0	3
40	39	0	0.461546727	0	0	0	0	0	0	0	0	0	0	3
