#version,serial,flight,call,time,rssi,lqi,state,state_name,acceleration,pressure,altitude,height,accel_speed,baro_speed,temperature,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,tilt,pyro,igniter_a,igniter_b,igniter_c,igniter_d,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6, 4225, 18, Aether4,    -1.77, -85,   7, 3,   boost,   -0.00, 101289.00,    3.00,   -1.25,    0.00,    0.00, 27.5, 4.02, 0.00, 4.05,  10.01,   0.41,   0.20,   0.18,   1.10,  -0.61,  -0.08,  -0.19,   0.05,   4.00, 4.03, 0.00, 4.02, 0.00, 0.00, 1, 1,  4,  43.3191798, -70.8913700,    83.0, 2018,  9, 29, 15, 57, 56,        0,        0, 140,   0,   4.3,   2.0,   3.8,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 4225, 18, Aether4,    -1.74, -85,  11, 3,   boost,   -0.00, 101289.00,    3.00,   -1.25,    0.00,    0.00, 27.5, 4.02, 0.00, 4.05,  10.01,   0.41,   0.20,   0.18,   1.10,  -0.61,  -0.08,  -0.19,   0.05,   4.00, 4.03, 0.00, 4.02, 0.00, 0.00, 1, 1,  4,  43.3191798, -70.8913700,    83.0, 2018,  9, 29, 15, 57, 56,        0,        0, 140,   0,   4.3,   2.0,   3.8,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 4225, 18, Aether4,    -1.18, -84,   9, 3,   boost,   -0.00, 101289.00,    3.00,   -1.25,    0.00,    0.00, 27.5, 4.02, 0.00, 4.05,  10.01,   0.41,   0.20,   0.18,   1.10,  -0.61,  -0.08,  -0.19,   0.05,   4.00, 4.03, 0.00, 4.02, 0.00, 0.00, 1, 1,  4,  43.3191798, -70.8913700,    83.0, 2018,  9, 29, 15, 57, 56,        0,        0, 140,   0,   4.3,   2.0,   3.8,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 4225, 18, Aether4,    -1.18, -84,   7, 3,   boost,   -0.00, 101289.00,    3.00,   -1.25,    0.00,    0.00, 27.5, 4.02, 0.00, 4.05,  10.01,   0.41,   0.20,   0.18,   1.10,  -0.61,  -0.08,  -0.19,   0.05,   4.00, 4.03, 0.00, 4.02, 0.00, 0.00, 1, 1,  4,  43.3191798, -70.8913700,    83.0, 2018,  9, 29, 15, 57, 56,        0,        0, 140,   0,   4.3,   2.0,   3.8,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 4225, 18, Aether4,    -0.76, -85,  10, 3,   boost,   -0.00, 101267.00,    4.83,    0.58,   -0.02,   -0.02, 27.5, 4.02, 0.00, 4.05,  10.04,   0.43,   0.10,   0.73,   0.98,  -0.31,  -0.07,  -0.19,   0.05,   4.00, 4.03, 0.00, 4.02, 0.00, 0.00, 1, 1,  4,  43.3191798, -70.8913700,    83.0, 2018,  9, 29, 15, 57, 56,        0,        0, 140,   0,   4.3,   2.0,   3.8,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 4225, 18, Aether4,    -0.73, -84,   5, 3,   boost,   -0.00, 101267.00,    4.83,    0.58,   -0.02,   -0.02, 27.5, 4.02, 0.06, 4.05,  10.04,   0.43,   0.10,   0.73,   0.98,  -0.31,  -0.07,  -0.19,   0.05,   4.00, 4.04, 0.00, 4.02, 0.00, 0.00, 1, 1,  4,  43.3191798, -70.8913700,    83.0, 2018,  9, 29, 15, 57, 56,        0,        0, 140,   0,   4.3,   2.0,   3.8,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 4225, 18, Aether4,    -0.18, -65,   6, 3,   boost,   -0.00, 101267.00,    4.83,    0.58,   -0.02,   -0.02, 27.5, 4.02, 0.06, 4.05,  10.04,   0.43,   0.10,   0.73,   0.98,  -0.31,  -0.07,  -0.19,   0.05,   4.00, 4.04, 0.00, 4.02, 0.00, 0.00, 1, 1,  4,  43.3191813, -70.8913717,    83.0, 2018,  9, 29, 15, 57, 57,        0,        0,   0,   0,   4.3,   2.0,   3.8,  0,  0,  0,  0,  0, 22,  0,  0, 29,  0,  0, 25,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 4225, 18, Aether4,    -0.04, -81,   8, 3,   boost,   95.34, 101265.00,    5.00,    0.75,   34.20,   34.20, 27.5, 4.02, 0.06, 4.05, 106.31,   3.09,   6.36, -77.94,  -2.32,   9.52,  -0.07,  -0.19,   0.04,   4.00, 4.04, 0.00, 4.02, 0.00, 0.00, 1, 1,  4,  43.3191813, -70.8913717,    83.0, 2018,  9, 29, 15, 57, 57,        0,        0,   0,   0,   4.3,   2.0,   3.8,  0,  0,  0,  0,  0, 22,  0,  0, 29,  0,  0, 25,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 4225, 18, Aether4,     0.00, -66,   9, 3,   boost,   95.34, 101265.00,    5.00,    0.75,   34.20,   34.20, 27.5, 4.02, 0.00, 4.04, 106.31,   3.09,   6.36, -77.94,  -2.32,   9.52,  -0.07,  -0.19,   0.04,   4.00, 4.06, 0.00, 4.02, 0.00, 0.00, 1, 1,  4,  43.3191813, -70.8913717,    83.0, 2018,  9, 29, 15, 57, 57,        0,        0,   0,   0,   4.3,   2.0,   3.8,  0,  0,  0,  0,  0, 22,  0,  0, 29,  0,  0, 25,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
6, 4225, 18, Aether4,     0.06, -66,   8, 3,   boost,   94.80, 101221.00,    8.66,    4.41,   43.68,   43.68, 27.5, 4.02, 0.00, 4.04, 104.23,   2.43,   6.73, 225.59, -22.95,  15.02,  -0.07,  -0.19,   0.06,   4.00, 4.06, 0.00, 4.02, 0.00, 0.00, 1, 1,  4,  43.3191813, -70.8913717,    83.0, 2018,  9, 29, 15, 57, 57,        0,        0,   0,   0,   4.3,   2.0,   3.8,  0,  0,  0,  0,  0, 22,  0,  0, 29,  0,  0, 25,  0,  0,  0,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
