Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	6	0	0.0115386682	101426.848	101426.848	101426.848	101426.848	0	0	0	15198.8	0	0	3
2	6	0	0.0230773363	101352.019	101389.433	101352.019	101426.848	37.4145326	0	0	14438.8	0	0	3
3	7	0	0.0346160045	101297.256	101358.707	101297.256	101426.848	68.1404901	0	0	17155.4	0	0	3
4	8	0	0.0461546727	101284.916	101340.26	101284.916	101426.848	86.5883928	0	0	20941.6	0	0	3
5	9	0	0.0576933408	101283.253	101328.858	101283.253	101426.848	97.9897533	0	0	25304.3	0	0	3
6	10	0	0.069232009	101273.475	101319.628	101273.475	101426.848	107.220224	0	0	29124.3	0	0	3
7	11	0	0.0807706772	101265.19	101311.851	101265.19	101426.848	114.997	0	0	32903.5	0	0	3
8	12	0	0.0923093453	101266.785	101306.218	101265.19	101426.848	120.630287	0	0	36398	0	0	3
9	13	0	0.103848013	101274.633	101302.708	101265.19	101426.848	124.139714	0	0	39770.6	0	0	3
10	13	0	0.115386682	101287.351	101301.172	101265.19	101426.848	125.675445	0	0	34289.7	0	0	3
11	14	0	0.12692535	101299.856	101301.053	101265.19	101426.848	125.795121	0	0	27557.1	0	0	3
12	15	0	0.138464018	101310.26	101301.82	101265.19	101426.848	125.795121	0	0	19985.9	0	0	3
13	16	0	0.150002686	101317.686	101303.041	101265.19	101426.848	125.795121	0	0	11605.7	0	0	3
14	17	0	0.161541354	101318.856	101304.17	101265.19	101426.848	125.795121	0	0	9958.09	0	0	3
15	18	0	0.173080022	101318.203	101305.106	101265.19	101426.848	125.795121	0	0	10542.4	0	0	3
16	19	0	0.184618691	101318.468	101305.941	101265.19	101426.848	125.795121	0	0	10057.4	0	0	3
17	19	0	0.196157359	101319.045	101306.712	101265.19	101426.848	125.795121	0	0	9251.03	0	0	3
18	20	0	0.207696027	101319.472	101307.421	101265.19	101426.848	125.795121	0	0	8643.01	0	0	3
19	21	0	0.219234695	101319.864	101308.075	101265.19	101426.848	125.795121	0	0	8056.27	0	0	3
20	22	0	0.230773363	101320.183	101308.681	101265.19	101426.848	125.795121	0	0	7537.66	0	0	3
21	23	0	0.242312031	101320.438	101309.241	101265.19	101426.848	125.795121	0	0	7055.69	0	0	3
22	24	0	0.2538507	101320.729	101309.763	101265.19	101426.848	125.795121	0	0	6581.24	0	0	3
23	25	0	0.265389368	101320.959	101310.25	101265.19	101426.848	125.795121	0	0	6198.11	0	0	3
24	26	0	0.276928036	101321.155	101310.704	101265.19	101426.848	125.795121	0	0	5890.69	0	0	3
25	26	0	0.288466704	101321.325	101311.129	101265.19	101426.848	125.795121	0	0	5643.66	0	0	3
26	27	0	0.300005372	101321.454	101311.526	101265.19	101426.848	125.795121	0	0	5460.61	0	0	3
27	28	0	0.31154404	101321.583	101311.898	101265.19	101426.848	125.795121	0	0	5273.23	0	0	3
28	29	0	0.323082709	101321.692	101312.248	101265.19	101426.848	125.795121	0	0	5116.92	0	0	3
29	30	0	0.334621377	101321.769	101312.577	101265.19	101426.848	125.795121	0	0	4995.78	0	0	3
30	31	0	0.346160045	101321.824	101312.885	101265.19	101426.848	125.795121	0	0	4912.14	0	0	3
31	31	0	0.357698713	101321.884	101313.175	101265.19	101426.848	125.795121	0	0	4843.57	0	0	3
32	32	0	0.369237381	101321.958	101313.45	101265.19	101426.848	125.795121	0	0	4772.32	0	0	3
33	33	0	0.380776049	101322.035	101313.71	101265.19	101426.848	125.795121	0	0	4739.53	0	0	3
34	34	0	0.392314718	101322.131	101313.957	101265.19	101426.848	125.795121	0	0	4706.85	0	0	3
35	35	0	0.403853386	101322.247	101314.194	101265.19	101426.848	125.795121	0	0	4673.55	0	0	3
36	35	0	0.415392054	101322.333	101314.42	101265.19	101426.848	125.795121	0	0	4673.16	0	0	3
37	36	0	0.426930722	101322.43	101314.637	101265.19	101426.848	125.795121	0	0	4686.89	0	0	3
38	37	0	0.43846939	101322.535	101314.845	101265.19	101426.848	125.795121	0	0	4685.49	0	0	3
39	38	0	0.450008058	101322.623	101315.044	101265.19	101426.848	125.795121	0	0	4698.28	0	0	3
40	39	0	0.461546727	101322.712	101315.236	101265.19	101426.848	125.795121	0	0	4694.16	0	0	3
41	39	0	0.473085395	101322.79	101315.42	101265.19	101426.848	125.795121	0	0	4700.42	0	0	3
42	40	0	0.484624063	101322.875	101315.598	101265.19	101426.848	125.795121	0	0	4696.39	0	0	3
43	41	0	0.496162731	101322.97	101315.769	101265.19	101426.848	125.795121	0	0	4700.99	0	0	3
44	42	0	0.507701399	101323.053	101315.935	101265.19	101426.848	125.795121	0	0	4695.86	0	0	3
45	43	0	0.519240067	101323.116	101313.577	101265.19	101352.019	86.8285898	0	0	4699.4	0	0	3
46	44	0	0.530778736	101323.184	101312.922	101265.19	101323.184	57.6546312	0	0	4692.38	0	0	3
47	44	0	0.542317404	101323.211	101313.512	101265.19	101323.211	39.2067285	0	0	4695.42	0	0	3
48	45	0	0.553856072	101323.217	101314.382	101265.19	101323.217	27.8053681	0	0	4690.77	0	0	3
49	46	0	0.56539474	101323.207	101315.29	101265.19	101323.217	18.5748976	0	0	4689.56	0	0	3
50	47	0	0.576933408	101323.197	101316.42	101265.19	101323.217	15.3672789	0	0	4688.23	0	0	3
51	47	0	0.588472076	101323.191	101317.738	101266.785	101323.217	16.6854801	0	0	4683.35	0	0	3
52	48	0	0.600010745	101323.18	101319.02	101274.633	101323.217	17.9672031	0	0	4683.37	0	0	3
53	49	0	0.611549413	101323.162	101320.123	101287.351	101323.217	19.0701345	0	0	4677.52	0	0	3
54	50	0	0.623088081	101323.139	101320.936	101299.856	101323.217	19.8835	0	0	4678.11	0	0	3
55	51	0	0.634626749	101323.117	101321.465	101310.26	101323.217	12.956034	0	0	4671.97	0	0	3
56	51	0	0.646165417	101323.106	101321.757	101317.686	101323.217	5.53064172	0	0	4672.95	0	0	3
57	52	0	0.657704085	101323.103	101321.88	101318.203	101323.217	5.01355237	0	0	4666.96	0	0	3
58	53	0	0.669242754	101323.108	101321.977	101318.203	101323.217	5.01355237	0	0	4668.46	0	0	3
59	54	0	0.680781422	101323.101	101322.088	101318.468	101323.217	4.74869604	0	0	4662.64	0	0	3
60	54	0	0.69232009	101323.089	101322.193	101319.045	101323.217	4.1719711	0	0	4664.75	0	0	3
61	55	0	0.703858758	101323.088	101322.285	101319.472	101323.217	3.74501934	0	0	4659.11	0	0	3
62	56	0	0.715397426	101323.091	101322.367	101319.864	101323.217	3.35228488	0	0	4661.56	0	0	3
63	57	0	0.726936094	101323.088	101322.44	101320.183	101323.217	3.03323087	0	0	4656.41	0	0	3
64	58	0	0.738474763	101323.082	101322.506	101320.438	101323.217	2.77870634	0	0	4658.84	0	0	3
65	58	0	0.750013431	101323.085	101322.566	101320.729	101323.217	2.48752625	0	0	4654.31	0	0	3
66	59	0	0.761552099	101323.084	101322.62	101320.959	101323.217	2.25801224	0	0	4656.64	0	0	3
67	60	0	0.773090767	101323.085	101322.668	101321.155	101323.217	2.06199463	0	0	4652.6	0	0	3
68	61	0	0.784629435	101323.094	101322.712	101321.325	101323.217	1.89176239	0	0	4654.78	0	0	3
69	62	0	0.796168103	101323.1	101322.753	101321.454	101323.217	1.76260234	0	0	4651.25	0	0	3
70	62	0	0.807706772	101323.106	101322.79	101321.583	101323.217	1.63367568	0	0	4653.4	0	0	3
71	63	0	0.81924544	101323.112	101322.825	101321.692	101323.217	1.52424435	0	0	4650.21	0	0	3
72	64	0	0.830784108	101323.113	101322.857	101321.769	101323.217	1.44780363	0	0	4652.38	0	0	3
73	65	0	0.842322776	101323.113	101322.888	101321.824	101323.217	1.3923795	0	0	4649.41	0	0	3
74	65	0	0.853861444	101323.104	101322.917	101321.884	101323.217	1.33238903	0	0	4651.56	0	0	3
75	66	0	0.865400112	101323.096	101322.944	101321.958	101323.217	1.25847905	0	0	4648.77	0	0	3
76	67	0	0.876938781	101323.093	101322.97	101322.035	101323.217	1.18168526	0	0	4650.95	0	0	3
77	68	0	0.888477449	101323.09	101322.994	101322.131	101323.217	1.08546611	0	0	4648.28	0	0	3
78	69	0	0.900016117	101323.096	101323.016	101322.247	101323.217	0.969548872	0	0	4650.44	0	0	3
79	69	0	0.911554785	101323.106	101323.036	101322.333	101323.217	0.883957704	0	0	4647.88	0	0	3
80	70	0	0.923093453	101323.114	101323.053	101322.43	101323.217	0.786697372	0	0	4650.2	0	0	3
81	71	0	0.934632121	101323.115	101323.069	101322.535	101323.217	0.68179302	0	0	4647.6	0	0	3
